!date time net_heat_flux
2018-01-01 00:00:00 -60.567933400472
2018-01-01 01:00:00 -63.1981328328451
2018-01-01 02:00:00 -67.1754964192708
2018-01-01 03:00:00 -51.6212603251139
2018-01-01 04:00:00 -63.8550745646159
2018-01-01 05:00:00 -48.4131368001302
2018-01-01 06:00:00 -78.8650054931641
2018-01-01 07:00:00 -80.1562067667643
2018-01-01 08:00:00 -84.7805404663086
2018-01-01 09:00:00 -69.5393498738607
2018-01-01 10:00:00 -69.4012832641602
2018-01-01 11:00:00 -54.8330103556315
2018-01-01 12:00:00 -66.8230438232422
2018-01-01 13:00:00 -56.5020535786947
2018-01-01 14:00:00 -24.948647181193
2018-01-01 15:00:00 49.5080032348633
2018-01-01 16:00:00 78.8347396850586
2018-01-01 17:00:00 66.4832941691081
2018-01-01 18:00:00 71.0308405558268
2018-01-01 19:00:00 120.466934204102
2018-01-01 20:00:00 45.5571365356445
2018-01-01 21:00:00 -21.6479797363281
2018-01-01 22:00:00 -67.0686594645182
2018-01-01 23:00:00 -62.847240447998
2018-01-02 00:00:00 -62.2571729024251
2018-01-02 01:00:00 -54.0150311787923
2018-01-02 02:00:00 -62.0824165344238
2018-01-02 03:00:00 -53.4488741556803
2018-01-02 04:00:00 -52.0077107747396
2018-01-02 05:00:00 -51.5785764058431
2018-01-02 06:00:00 -49.9244791666667
2018-01-02 07:00:00 -46.4314626057943
2018-01-02 08:00:00 -59.441286722819
2018-01-02 09:00:00 -65.2124277750651
2018-01-02 10:00:00 -77.3694458007812
2018-01-02 11:00:00 -75.3259862263997
2018-01-02 12:00:00 -72.2976811726888
2018-01-02 13:00:00 -65.7359212239583
2018-01-02 14:00:00 -39.4015897115072
2018-01-02 15:00:00 24.4291763305664
2018-01-02 16:00:00 100.985766092936
2018-01-02 17:00:00 151.737330118815
2018-01-02 18:00:00 168.270538330078
2018-01-02 19:00:00 120.390665690104
2018-01-02 20:00:00 33.6308809916178
2018-01-02 21:00:00 -89.162358601888
2018-01-02 22:00:00 -141.723861694336
2018-01-02 23:00:00 -138.775395711263
2018-01-03 00:00:00 -136.313959757487
2018-01-03 01:00:00 -135.426401774089
2018-01-03 02:00:00 -126.274068196615
2018-01-03 03:00:00 -123.336631774902
2018-01-03 04:00:00 -117.107701619466
2018-01-03 05:00:00 -114.214233398438
2018-01-03 06:00:00 -109.107800801595
2018-01-03 07:00:00 -111.746866861979
2018-01-03 08:00:00 -106.464998881022
2018-01-03 09:00:00 -115.904968261719
2018-01-03 10:00:00 -112.933700561523
2018-01-03 11:00:00 -113.363400777181
2018-01-03 12:00:00 -113.179400126139
2018-01-03 13:00:00 -116.904266357422
2018-01-03 14:00:00 -37.9184799194336
2018-01-03 15:00:00 25.4168167114258
2018-01-03 16:00:00 30.6213200887044
2018-01-03 17:00:00 50.0467313130697
2018-01-03 18:00:00 32.9477869669596
2018-01-03 19:00:00 16.9288864135742
2018-01-03 20:00:00 -10.3750015894572
2018-01-03 21:00:00 -56.3234430948893
2018-01-03 22:00:00 -74.5863825480143
2018-01-03 23:00:00 -75.4845809936523
2018-01-04 00:00:00 -66.2594629923503
2018-01-04 01:00:00 -58.1000518798828
2018-01-04 02:00:00 -58.0016377766927
2018-01-04 03:00:00 -59.3768323262533
2018-01-04 04:00:00 -48.2082023620605
2018-01-04 05:00:00 -44.1259625752767
2018-01-04 06:00:00 -44.9340833028158
2018-01-04 07:00:00 -42.2029368082682
2018-01-04 08:00:00 -47.5204594930013
2018-01-04 09:00:00 -45.8858731587728
2018-01-04 10:00:00 -54.2440541585286
2018-01-04 11:00:00 -54.0402399698893
2018-01-04 12:00:00 -53.4940058390299
2018-01-04 13:00:00 -46.3759587605794
2018-01-04 14:00:00 -10.6344436009725
2018-01-04 15:00:00 65.3017985026042
2018-01-04 16:00:00 140.977233886719
2018-01-04 17:00:00 180.270299275716
2018-01-04 18:00:00 178.371729532878
2018-01-04 19:00:00 145.959899902344
2018-01-04 20:00:00 73.3857269287109
2018-01-04 21:00:00 -17.324613571167
2018-01-04 22:00:00 -81.6592610677083
2018-01-04 23:00:00 -82.4210942586263
2018-01-05 00:00:00 -73.4752807617188
2018-01-05 01:00:00 -59.9016329447428
2018-01-05 02:00:00 -56.5211435953776
2018-01-05 03:00:00 -57.0478897094727
2018-01-05 04:00:00 -62.7433471679688
2018-01-05 05:00:00 -68.2529169718425
2018-01-05 06:00:00 -71.4792149861654
2018-01-05 07:00:00 -66.0178375244141
2018-01-05 08:00:00 -66.2586491902669
2018-01-05 09:00:00 -70.3846638997396
2018-01-05 10:00:00 -48.9359397888184
2018-01-05 11:00:00 -48.862496693929
2018-01-05 12:00:00 -57.3852221171061
2018-01-05 13:00:00 -65.0204137166341
2018-01-05 14:00:00 1.55914930502574
2018-01-05 15:00:00 97.665293375651
2018-01-05 16:00:00 171.337295532227
2018-01-05 17:00:00 189.350931803385
2018-01-05 18:00:00 211.126037597656
2018-01-05 19:00:00 154.120498657227
2018-01-05 20:00:00 85.093132019043
2018-01-05 21:00:00 -3.54847701390584
2018-01-05 22:00:00 -62.5630900065104
2018-01-05 23:00:00 -58.2105865478516
2018-01-06 00:00:00 -48.0936292012533
2018-01-06 01:00:00 -62.5988566080729
2018-01-06 02:00:00 -52.4136924743652
2018-01-06 03:00:00 -58.1080830891927
2018-01-06 04:00:00 -49.6703631083171
2018-01-06 05:00:00 -62.0253168741862
2018-01-06 06:00:00 -85.5530624389648
2018-01-06 07:00:00 -78.91126759847
2018-01-06 08:00:00 -70.000851949056
2018-01-06 09:00:00 -68.6978149414062
2018-01-06 10:00:00 -60.3808403015137
2018-01-06 11:00:00 -61.5390752156576
2018-01-06 12:00:00 -66.7224604288737
2018-01-06 13:00:00 -75.2731857299805
2018-01-06 14:00:00 -1.01356001694997
2018-01-06 15:00:00 87.2652791341146
2018-01-06 16:00:00 170.598032633464
