!date time U10 V10 air_pressure air_temperature relative_humidity cloud_cover short_wave
2018-01-01 00:00:00 2.468 -7.015 100.000 -9.863 71.459 0.857 0.000
2018-01-01 01:00:00 4.443 -5.570 100.000 -9.504 67.779 0.841 0.000
2018-01-01 02:00:00 3.067 -4.580 100.000 -9.989 67.853 0.720 0.000
2018-01-01 03:00:00 2.633 -5.131 100.000 -10.099 68.383 0.899 0.000
2018-01-01 04:00:00 4.073 -5.516 100.000 -10.150 69.148 0.806 0.000
2018-01-01 05:00:00 5.131 -2.177 100.000 -10.243 72.303 0.910 0.000
2018-01-01 06:00:00 5.209 -5.008 100.000 -10.171 71.975 0.616 0.000
2018-01-01 07:00:00 5.086 -4.541 100.000 -10.353 74.441 0.554 0.000
2018-01-01 08:00:00 4.922 -4.788 100.000 -10.468 74.553 0.472 0.000
2018-01-01 09:00:00 6.641 -5.092 100.000 -10.040 74.143 0.775 0.000
2018-01-01 10:00:00 7.295 -3.724 100.000 -9.495 74.682 0.775 0.000
2018-01-01 11:00:00 8.051 -2.194 100.000 -9.336 74.471 0.938 0.000
2018-01-01 12:00:00 8.962 -3.479 100.000 -9.075 78.334 0.837 0.000
2018-01-01 13:00:00 10.087 -1.293 100.000 -9.889 84.671 0.887 0.000
2018-01-01 14:00:00 11.822 1.049 100.000 -8.796 80.775 1.000 31.271
2018-01-01 15:00:00 11.626 -0.565 100.000 -8.670 79.005 0.860 121.916
2018-01-01 16:00:00 11.151 -3.603 100.000 -9.885 84.597 0.952 132.937
2018-01-01 17:00:00 12.127 -3.232 100.000 -9.778 80.620 1.000 123.417
2018-01-01 18:00:00 10.717 -3.619 100.000 -9.786 81.353 1.000 122.732
2018-01-01 19:00:00 10.530 -3.847 100.000 -9.563 81.026 0.808 191.896
2018-01-01 20:00:00 9.984 -2.515 100.000 -9.563 80.508 0.899 105.891
2018-01-01 21:00:00 9.823 -3.959 100.000 -9.322 77.732 0.811 51.314
2018-01-01 22:00:00 9.151 -4.661 100.000 -9.255 75.803 0.881 0.000
2018-01-01 23:00:00 9.177 -4.002 100.000 -8.928 77.051 0.908 0.000
2018-01-02 00:00:00 9.049 -4.133 100.000 -8.934 77.431 0.907 0.000
2018-01-02 01:00:00 9.320 -3.964 100.000 -8.818 76.690 1.000 0.000
2018-01-02 02:00:00 9.176 -3.391 100.000 -8.759 77.278 0.907 0.000
2018-01-02 03:00:00 9.648 -3.495 100.000 -8.761 77.910 1.000 0.000
2018-01-02 04:00:00 9.527 -2.957 100.000 -8.848 78.124 1.000 0.000
2018-01-02 05:00:00 9.455 -2.956 100.000 -9.022 77.987 1.000 0.000
2018-01-02 06:00:00 9.731 -1.547 100.000 -9.003 79.581 1.000 0.000
2018-01-02 07:00:00 10.802 -0.141 100.000 -9.377 85.186 1.000 0.000
2018-01-02 08:00:00 12.049 1.072 100.000 -8.416 79.620 1.000 0.000
2018-01-02 09:00:00 12.419 3.741 100.000 -8.426 78.183 1.000 0.000
2018-01-02 10:00:00 11.008 3.007 100.000 -8.688 77.551 0.815 0.000
2018-01-02 11:00:00 10.109 4.028 100.000 -8.695 77.398 0.815 0.000
2018-01-02 12:00:00 11.501 4.009 100.000 -8.649 77.216 0.907 0.000
2018-01-02 13:00:00 12.196 4.772 100.000 -8.588 77.929 1.000 0.000
2018-01-02 14:00:00 13.839 4.607 100.000 -8.434 79.392 1.000 31.292
2018-01-02 15:00:00 14.499 5.122 100.000 -8.266 78.223 0.889 113.482
2018-01-02 16:00:00 15.147 4.227 100.000 -8.077 75.316 0.767 209.728
2018-01-02 17:00:00 14.790 4.204 100.000 -7.564 71.330 0.655 276.952
2018-01-02 18:00:00 15.110 3.321 100.000 -7.372 71.046 0.454 308.012
2018-01-02 19:00:00 14.583 4.049 100.000 -7.005 68.500 0.373 267.915
2018-01-02 20:00:00 13.613 4.372 100.000 -6.618 65.217 0.373 182.128
2018-01-02 21:00:00 13.842 4.905 100.000 -6.638 58.435 0.373 73.178
2018-01-02 22:00:00 12.351 5.720 100.000 -7.097 64.638 0.373 0.000
2018-01-02 23:00:00 11.930 5.184 100.000 -7.471 64.825 0.280 0.000
2018-01-03 00:00:00 12.077 5.637 100.000 -8.042 66.663 0.277 0.000
2018-01-03 01:00:00 12.500 5.054 100.000 -8.316 67.269 0.278 0.000
2018-01-03 02:00:00 10.733 5.651 100.000 -8.505 67.211 0.278 0.000
2018-01-03 03:00:00 10.788 6.045 100.000 -8.723 67.429 0.370 0.000
2018-01-03 04:00:00 10.140 6.103 100.000 -9.027 69.424 0.370 0.000
2018-01-03 05:00:00 9.852 5.670 100.000 -9.489 71.832 0.277 0.000
2018-01-03 06:00:00 8.293 5.893 100.000 -9.601 70.950 0.280 0.000
2018-01-03 07:00:00 9.196 5.999 100.000 -9.624 71.307 0.302 0.000
2018-01-03 08:00:00 8.615 5.692 100.000 -9.305 70.962 0.388 0.000
2018-01-03 09:00:00 9.486 7.249 100.000 -8.980 70.780 0.380 0.000
2018-01-03 10:00:00 9.201 6.141 100.000 -8.864 71.391 0.334 0.000
2018-01-03 11:00:00 8.110 7.027 100.000 -8.769 71.507 0.277 0.000
2018-01-03 12:00:00 9.450 6.098 100.000 -8.722 71.045 0.370 0.000
2018-01-03 13:00:00 8.547 7.055 100.000 -8.344 68.670 0.343 0.000
2018-01-03 14:00:00 8.840 8.456 100.000 -8.044 67.843 0.659 69.807
2018-01-03 15:00:00 8.655 6.539 100.000 -7.400 64.923 0.907 107.947
2018-01-03 16:00:00 7.523 7.808 100.000 -6.393 55.715 0.982 117.521
2018-01-03 17:00:00 8.427 6.934 100.000 -5.765 53.985 0.973 142.630
2018-01-03 18:00:00 6.651 8.969 100.000 -5.498 55.934 1.000 123.908
2018-01-03 19:00:00 8.377 6.825 100.000 -5.243 56.173 1.000 105.567
2018-01-03 20:00:00 7.667 6.426 100.000 -5.019 56.505 1.000 72.031
2018-01-03 21:00:00 9.093 5.880 100.000 -5.126 59.698 1.000 29.336
2018-01-03 22:00:00 8.945 3.877 100.000 -5.239 62.051 1.000 0.000
2018-01-03 23:00:00 10.568 4.481 100.000 -5.330 71.489 1.000 0.000
2018-01-04 00:00:00 10.408 4.097 100.000 -5.699 76.232 1.000 0.000
2018-01-04 01:00:00 10.939 2.183 100.000 -6.419 80.858 1.000 0.000
2018-01-04 02:00:00 11.804 2.083 100.000 -6.686 82.847 1.000 0.000
2018-01-04 03:00:00 9.839 1.030 100.000 -7.045 83.081 0.907 0.000
2018-01-04 04:00:00 8.810 0.198 100.000 -6.757 81.149 1.000 0.000
2018-01-04 05:00:00 7.899 0.130 100.000 -6.722 82.426 1.000 0.000
2018-01-04 06:00:00 7.593 -1.344 100.000 -6.593 81.023 0.999 0.000
2018-01-04 07:00:00 6.542 -3.537 100.000 -6.674 83.347 0.999 0.000
2018-01-04 08:00:00 5.074 -6.215 100.000 -7.061 81.575 0.976 0.000
2018-01-04 09:00:00 4.937 -5.751 100.000 -7.443 80.815 0.979 0.000
2018-01-04 10:00:00 4.229 -6.952 100.000 -7.751 81.556 0.908 0.000
2018-01-04 11:00:00 4.363 -7.201 100.000 -8.165 77.504 0.944 0.000
2018-01-04 12:00:00 4.207 -6.904 100.000 -8.986 80.354 0.907 0.000
2018-01-04 13:00:00 3.380 -8.378 100.000 -8.803 80.858 1.000 0.000
2018-01-04 14:00:00 3.008 -8.831 100.000 -8.951 81.236 0.907 45.979
2018-01-04 15:00:00 4.064 -9.060 100.000 -8.991 79.073 0.815 134.742
2018-01-04 16:00:00 5.835 -9.073 100.000 -9.226 76.641 0.723 223.503
2018-01-04 17:00:00 5.177 -9.525 100.000 -9.388 78.823 0.723 260.388
2018-01-04 18:00:00 5.279 -9.630 100.000 -9.622 77.677 0.724 259.734
2018-01-04 19:00:00 5.963 -8.171 100.000 -9.837 78.372 0.716 223.678
2018-01-04 20:00:00 6.153 -9.066 100.000 -10.168 78.110 0.710 154.164
2018-01-04 21:00:00 5.476 -9.825 100.000 -10.266 78.858 0.697 64.552
2018-01-04 22:00:00 5.381 -9.267 100.000 -10.778 79.697 0.652 0.000
2018-01-04 23:00:00 5.895 -9.313 100.000 -11.180 79.337 0.650 0.000
2018-01-05 00:00:00 5.128 -10.014 100.000 -11.346 79.136 0.771 0.000
2018-01-05 01:00:00 4.909 -8.808 100.000 -11.863 80.182 0.863 0.000
2018-01-05 02:00:00 6.239 -7.728 100.000 -12.096 81.193 0.882 0.000
2018-01-05 03:00:00 5.297 -7.583 100.000 -12.363 79.910 0.864 0.000
2018-01-05 04:00:00 6.900 -6.071 100.000 -12.720 80.535 0.789 0.000
