!date time net_heat_flux uwind_stress vwind_stress
2018-01-01 00:00:00 -52.817 0.019 -0.051
2018-01-01 01:00:00 -67.66 0.022 -0.044
2018-01-01 02:00:00 -76.719 0.025 -0.036
2018-01-01 03:00:00 -68.332 0.024 -0.041
2018-01-01 04:00:00 -73.5 0.044 -0.043
2018-01-01 05:00:00 -51.59 0.041 -0.026
2018-01-01 06:00:00 -82.48 0.066 -0.024
2018-01-01 07:00:00 -85.163 0.055 -0.03
2018-01-01 08:00:00 -89.807 0.054 -0.03
2018-01-01 09:00:00 -85.636 0.067 -0.033
2018-01-01 10:00:00 -88.711 0.083 -0.019
2018-01-01 11:00:00 -64.28 0.076 -0.014
2018-01-01 12:00:00 -66.44 0.101 -0.025
2018-01-01 13:00:00 -57.145 0.122 0.005
2018-01-01 14:00:00 -20.606 0.157 0.038
2018-01-01 15:00:00 42.54 0.187 0.014
2018-01-01 16:00:00 85.5 0.162 -0.04
2018-01-01 17:00:00 69.303 0.195 -0.069
2018-01-01 18:00:00 72.137 0.157 -0.062
2018-01-01 19:00:00 107.319 0.153 -0.066
2018-01-01 20:00:00 48.628 0.149 -0.05
2018-01-01 21:00:00 -20.426 0.136 -0.06
2018-01-01 22:00:00 -78.49 0.128 -0.059
2018-01-01 23:00:00 -55.342 0.116 -0.033
2018-01-02 00:00:00 -53.498 0.106 -0.034
2018-01-02 01:00:00 -53.663 0.131 -0.03
2018-01-02 02:00:00 -55.304 0.117 -0.031
2018-01-02 03:00:00 -52.349 0.134 -0.038
2018-01-02 04:00:00 -50.843 0.121 -0.036
2018-01-02 05:00:00 -49.169 0.109 -0.031
2018-01-02 06:00:00 -48.146 0.126 -0.004
2018-01-02 07:00:00 -45.817 0.16 0.016
2018-01-02 08:00:00 -58.067 0.199 0.028
2018-01-02 09:00:00 -60.13 0.215 0.052
2018-01-02 10:00:00 -64.671 0.156 0.039
2018-01-02 11:00:00 -63.198 0.142 0.043
2018-01-02 12:00:00 -66.105 0.203 0.059
2018-01-02 13:00:00 -65.097 0.251 0.077
2018-01-02 14:00:00 -44.618 0.365 0.088
2018-01-02 15:00:00 32.531 0.361 0.121
2018-01-02 16:00:00 132.464 0.39 0.1
2018-01-02 17:00:00 187.709 0.366 0.124
2018-01-02 18:00:00 185.344 0.409 0.085
2018-01-02 19:00:00 136.125 0.362 0.103
2018-01-02 20:00:00 43.979 0.328 0.102
2018-01-02 21:00:00 -76.442 0.306 0.119
2018-01-02 22:00:00 -145.362 0.277 0.106
2018-01-02 23:00:00 -141.338 0.258 0.1
