!date time long_wave
2018-01-01 00:00:00 260.381
2018-01-01 01:00:00 254.455
2018-01-01 02:00:00 243.545
2018-01-01 03:00:00 249.684
2018-01-01 04:00:00 245.963
2018-01-01 05:00:00 256.483
2018-01-01 06:00:00 236.599
2018-01-01 07:00:00 230.950
2018-01-01 08:00:00 223.754
2018-01-01 09:00:00 232.872
2018-01-01 10:00:00 234.821
2018-01-01 11:00:00 253.437
2018-01-01 12:00:00 253.677
2018-01-01 13:00:00 255.347
2018-01-01 14:00:00 266.191
2018-01-01 15:00:00 260.927
2018-01-01 16:00:00 260.559
2018-01-01 17:00:00 263.689
2018-01-01 18:00:00 263.552
2018-01-01 19:00:00 256.418
2018-01-01 20:00:00 257.967
2018-01-01 21:00:00 257.654
2018-01-01 22:00:00 253.879
2018-01-01 23:00:00 262.492
2018-01-02 00:00:00 262.075
2018-01-02 01:00:00 266.274
2018-01-02 02:00:00 262.398
2018-01-02 03:00:00 265.674
2018-01-02 04:00:00 265.988
2018-01-02 05:00:00 265.871
2018-01-02 06:00:00 265.576
2018-01-02 07:00:00 264.380
2018-01-02 08:00:00 267.140
2018-01-02 09:00:00 266.663
2018-01-02 10:00:00 260.427
2018-01-02 11:00:00 260.913
2018-01-02 12:00:00 264.116
2018-01-02 13:00:00 267.174
2018-01-02 14:00:00 267.158
2018-01-02 15:00:00 259.181
2018-01-02 16:00:00 244.392
2018-01-02 17:00:00 229.067
2018-01-02 18:00:00 226.328
2018-01-02 19:00:00 227.100
2018-01-02 20:00:00 228.367
2018-01-02 21:00:00 228.378
2018-01-02 22:00:00 227.532
2018-01-02 23:00:00 223.846
2018-01-03 00:00:00 218.502
2018-01-03 01:00:00 217.814
2018-01-03 02:00:00 217.342
2018-01-03 03:00:00 219.810
2018-01-03 04:00:00 218.948
2018-01-03 05:00:00 215.636
2018-01-03 06:00:00 216.554
2018-01-03 07:00:00 224.451
2018-01-03 08:00:00 225.567
2018-01-03 09:00:00 224.406
2018-01-03 10:00:00 224.153
2018-01-03 11:00:00 217.123
2018-01-03 12:00:00 220.183
2018-01-03 13:00:00 229.268
2018-01-03 14:00:00 258.444
2018-01-03 15:00:00 267.862
2018-01-03 16:00:00 270.175
2018-01-03 17:00:00 275.796
2018-01-03 18:00:00 276.487
2018-01-03 19:00:00 277.124
2018-01-03 20:00:00 278.194
2018-01-03 21:00:00 277.802
2018-01-03 22:00:00 277.459
2018-01-03 23:00:00 276.890
2018-01-04 00:00:00 275.731
2018-01-04 01:00:00 275.064
2018-01-04 02:00:00 273.985
2018-01-04 03:00:00 267.916
2018-01-04 04:00:00 272.915
2018-01-04 05:00:00 273.107
2018-01-04 06:00:00 272.272
2018-01-04 07:00:00 271.740
2018-01-04 08:00:00 261.471
2018-01-04 09:00:00 261.601
2018-01-04 10:00:00 264.561
2018-01-04 11:00:00 258.969
2018-01-04 12:00:00 262.462
2018-01-04 13:00:00 265.524
2018-01-04 14:00:00 262.425
2018-01-04 15:00:00 259.785
2018-01-04 16:00:00 256.024
2018-01-04 17:00:00 255.928
2018-01-04 18:00:00 256.175
2018-01-04 19:00:00 253.487
2018-01-04 20:00:00 250.006
2018-01-04 21:00:00 245.293
2018-01-04 22:00:00 240.257
2018-01-04 23:00:00 238.742
2018-01-05 00:00:00 242.078
2018-01-05 01:00:00 242.473
2018-01-05 02:00:00 246.814
2018-01-05 03:00:00 242.890
2018-01-05 04:00:00 241.677
2018-01-05 05:00:00 237.480
2018-01-05 06:00:00 229.914
2018-01-05 07:00:00 235.952
2018-01-05 08:00:00 236.392
2018-01-05 09:00:00 229.077
2018-01-05 10:00:00 241.040
2018-01-05 11:00:00 241.110
2018-01-05 12:00:00 237.877
2018-01-05 13:00:00 236.454
2018-01-05 14:00:00 233.185
2018-01-05 15:00:00 229.848
2018-01-05 16:00:00 233.865
2018-01-05 17:00:00 237.334
2018-01-05 18:00:00 231.714
2018-01-05 19:00:00 234.486
2018-01-05 20:00:00 234.712
2018-01-05 21:00:00 236.599
2018-01-05 22:00:00 234.062
2018-01-05 23:00:00 235.111
2018-01-06 00:00:00 240.411
2018-01-06 01:00:00 231.085
2018-01-06 02:00:00 241.107
2018-01-06 03:00:00 238.456
2018-01-06 04:00:00 253.996
2018-01-06 05:00:00 248.367
2018-01-06 06:00:00 233.754
2018-01-06 07:00:00 229.686
2018-01-06 08:00:00 220.974
2018-01-06 09:00:00 216.814
2018-01-06 10:00:00 221.202
2018-01-06 11:00:00 216.958
2018-01-06 12:00:00 219.634
2018-01-06 13:00:00 217.524
2018-01-06 14:00:00 217.935
2018-01-06 15:00:00 228.276
2018-01-06 16:00:00 230.647
2018-01-06 17:00:00 228.675
2018-01-06 18:00:00 229.132
2018-01-06 19:00:00 231.750
2018-01-06 20:00:00 227.816
2018-01-06 21:00:00 234.854
2018-01-06 22:00:00 230.370
2018-01-06 23:00:00 227.914
2018-01-07 00:00:00 215.487
2018-01-07 01:00:00 209.225
2018-01-07 02:00:00 215.976
2018-01-07 03:00:00 229.328
2018-01-07 04:00:00 220.923
2018-01-07 05:00:00 204.083
2018-01-07 06:00:00 205.573
2018-01-07 07:00:00 202.702
2018-01-07 08:00:00 202.453
2018-01-07 09:00:00 202.828
2018-01-07 10:00:00 209.346
2018-01-07 11:00:00 217.201
2018-01-07 12:00:00 233.850
2018-01-07 13:00:00 237.858
2018-01-07 14:00:00 245.598
2018-01-07 15:00:00 249.398
2018-01-07 16:00:00 257.058
2018-01-07 17:00:00 266.355
2018-01-07 18:00:00 272.169
2018-01-07 19:00:00 275.163
2018-01-07 20:00:00 276.034
2018-01-07 21:00:00 277.855
2018-01-07 22:00:00 283.819
2018-01-07 23:00:00 284.955
2018-01-08 00:00:00 289.804
2018-01-08 01:00:00 291.596
2018-01-08 02:00:00 292.302
2018-01-08 03:00:00 295.810
2018-01-08 04:00:00 295.472
2018-01-08 05:00:00 297.467
2018-01-08 06:00:00 298.324
2018-01-08 07:00:00 299.048
2018-01-08 08:00:00 298.606
2018-01-08 09:00:00 298.061
2018-01-08 10:00:00 298.639
2018-01-08 11:00:00 299.014
2018-01-08 12:00:00 299.136
2018-01-08 13:00:00 299.995
2018-01-08 14:00:00 300.954
2018-01-08 15:00:00 301.238
2018-01-08 16:00:00 303.199
2018-01-08 17:00:00 302.912
2018-01-08 18:00:00 303.089
2018-01-08 19:00:00 302.730
2018-01-08 20:00:00 300.377
2018-01-08 21:00:00 289.298
2018-01-08 22:00:00 285.884
2018-01-08 23:00:00 285.925
2018-01-09 00:00:00 284.691
2018-01-09 01:00:00 268.257
2018-01-09 02:00:00 260.267
2018-01-09 03:00:00 251.221
2018-01-09 04:00:00 252.699
2018-01-09 05:00:00 253.948
2018-01-09 06:00:00 251.156
2018-01-09 07:00:00 243.597
2018-01-09 08:00:00 242.722
2018-01-09 09:00:00 250.148
2018-01-09 10:00:00 250.881
2018-01-09 11:00:00 276.892
2018-01-09 12:00:00 276.025
2018-01-09 13:00:00 279.538
2018-01-09 14:00:00 276.420
2018-01-09 15:00:00 277.977
2018-01-09 16:00:00 284.748
2018-01-09 17:00:00 288.599
2018-01-09 18:00:00 286.880
2018-01-09 19:00:00 284.060
2018-01-09 20:00:00 284.402
2018-01-09 21:00:00 279.651
2018-01-09 22:00:00 269.849
2018-01-09 23:00:00 272.999
2018-01-10 00:00:00 248.211
2018-01-10 01:00:00 267.241
2018-01-10 02:00:00 254.399
