!date time U10 V10 air_pressure air_temperature relative_humidity cloud_cover short_wave
2018-01-01 00:00:00 2.166 -5.755 10000.000 -9.308 65.024 0.922 0.000
2018-01-01 01:00:00 2.647 -5.247 10000.000 -8.507 60.935 0.780 0.000
2018-01-01 02:00:00 3.085 -4.580 10000.000 -9.213 63.525 0.623 0.000
2018-01-01 03:00:00 2.866 -4.975 10000.000 -9.387 64.361 0.738 0.000
2018-01-01 04:00:00 4.667 -4.597 10000.000 -9.726 68.242 0.688 0.000
2018-01-01 05:00:00 4.874 -3.121 10000.000 -9.920 73.767 0.882 0.000
2018-01-01 06:00:00 6.574 -2.343 10000.000 -10.023 73.725 0.536 0.000
2018-01-01 07:00:00 5.812 -3.130 10000.000 -10.277 75.203 0.447 0.000
2018-01-01 08:00:00 5.731 -3.178 10000.000 -10.425 75.736 0.326 0.000
2018-01-01 09:00:00 6.475 -3.179 10000.000 -10.159 75.283 0.476 0.000
2018-01-01 10:00:00 7.474 -1.755 10000.000 -9.352 74.560 0.476 0.000
2018-01-01 11:00:00 7.206 -1.323 10000.000 -9.330 74.755 0.801 0.000
2018-01-01 12:00:00 8.237 -2.044 10000.000 -9.225 77.824 0.801 0.000
2018-01-01 13:00:00 9.209 0.368 10000.000 -9.886 84.131 0.861 0.000
2018-01-01 14:00:00 10.284 2.504 10000.000 -8.828 81.157 1.000 30.512
2018-01-01 15:00:00 11.256 0.816 10000.000 -8.414 77.335 0.888 113.280
2018-01-01 16:00:00 10.437 -2.603 10000.000 -9.583 82.605 0.938 141.063
2018-01-01 17:00:00 11.064 -3.907 10000.000 -9.726 79.434 1.000 124.810
2018-01-01 18:00:00 10.082 -4.001 10000.000 -9.777 78.937 1.000 124.867
2018-01-01 19:00:00 9.865 -4.248 10000.000 -9.527 77.268 0.863 176.054
2018-01-01 20:00:00 9.908 -3.295 10000.000 -9.500 77.551 0.889 113.472
2018-01-01 21:00:00 9.295 -4.123 10000.000 -8.957 73.394 0.858 51.333
2018-01-01 22:00:00 8.968 -4.133 10000.000 -8.919 71.395 0.790 0.000
2018-01-01 23:00:00 8.805 -2.500 10000.000 -9.130 76.476 0.950 0.000
2018-01-02 00:00:00 8.357 -2.690 10000.000 -9.276 76.852 0.950 0.000
2018-01-02 01:00:00 9.414 -2.189 10000.000 -8.798 75.069 1.000 0.000
2018-01-02 02:00:00 8.866 -2.360 10000.000 -9.159 76.592 0.950 0.000
2018-01-02 03:00:00 9.447 -2.714 10000.000 -9.010 76.853 1.000 0.000
2018-01-02 04:00:00 8.996 -2.635 10000.000 -8.899 76.820 1.000 0.000
2018-01-02 05:00:00 8.539 -2.460 10000.000 -8.941 76.575 1.000 0.000
2018-01-02 06:00:00 9.343 -0.321 10000.000 -9.045 79.585 1.000 0.000
2018-01-02 07:00:00 10.528 1.057 10000.000 -9.475 85.087 1.000 0.000
2018-01-02 08:00:00 11.500 1.604 10000.000 -8.496 79.022 1.000 0.000
