!date time sst_c sst_c_fix
2017-12-31 17:00:00 5.53 5.53
2018-01-01 17:00:00 5.53 5.53
2018-01-02 17:00:00 5.4045 5.4045
2018-01-03 17:00:00 5.4045 5.4045
2018-01-04 17:00:00 1.3885 5
2018-01-05 17:00:00 1.6395 5
2018-01-06 17:00:00 1.6395 5
2018-01-07 17:00:00 1.6395 5
2018-01-08 17:00:00 1.6395 5
2018-01-09 17:00:00 1.6395 5
2018-01-10 17:00:00 1.6395 5
2018-01-11 17:00:00 1.6395 5
2018-01-12 17:00:00 1.6395 5
2018-01-13 17:00:00 1.3885 5
2018-01-14 17:00:00 1.6395 5
2018-01-15 17:00:00 1.6395 5
2018-01-16 17:00:00 1.6395 5
2018-01-17 17:00:00 1.6395 5
2018-01-18 17:00:00 1.6395 5
2018-01-19 17:00:00 1.6395 5
2018-01-20 17:00:00 1.6395 5
2018-01-21 17:00:00 1.6395 5
2018-01-22 17:00:00 1.6395 5
2018-01-23 17:00:00 1.6395 5
2018-01-24 17:00:00 1.6395 5
2018-01-25 17:00:00 0.1335 5
2018-01-26 17:00:00 4.9025 4.9025
2018-01-27 17:00:00 4.9025 4.9025
2018-01-28 17:00:00 4.777 4.777
2018-01-29 17:00:00 4.777 4.777
2018-01-30 17:00:00 4.777 4.777
2018-01-31 17:00:00 0.1335 5
2018-02-01 17:00:00 0.8865 5
2018-02-02 17:00:00 0.8865 5
2018-02-03 17:00:00 0.8865 5
2018-02-04 17:00:00 1.6395 5
2018-02-05 17:00:00 1.6395 5
2018-02-06 17:00:00 1.6395 5
2018-02-07 17:00:00 1.6395 5
2018-02-08 17:00:00 1.6395 5
2018-02-09 17:00:00 1.6395 5
2018-02-10 17:00:00 1.6395 5
2018-02-11 17:00:00 1.6395 5
2018-02-12 17:00:00 1.6395 5
2018-02-13 17:00:00 1.6395 5
2018-02-14 17:00:00 1.6395 5
2018-02-15 17:00:00 1.6395 5
2018-02-16 17:00:00 1.6395 5
2018-02-17 17:00:00 1.6395 5
2018-02-18 17:00:00 1.6395 5
2018-02-19 17:00:00 1.6395 5
2018-02-20 17:00:00 1.6395 5
2018-02-21 17:00:00 1.6395 5
2018-02-22 17:00:00 1.6395 5
2018-02-23 17:00:00 1.6395 5
2018-02-24 17:00:00 1.6395 5
2018-02-25 17:00:00 0.1335 5
2018-02-26 17:00:00 4.9025 4.9025
2018-02-27 17:00:00 4.9025 4.9025
2018-02-28 17:00:00 4.9025 4.9025
2018-03-01 17:00:00 4.9025 4.9025
2018-03-02 17:00:00 4.9025 4.9025
2018-03-03 17:00:00 5.028 5.028
2018-03-04 17:00:00 5.028 5.028
2018-03-05 17:00:00 4.9025 4.9025
2018-03-06 17:00:00 4.9025 4.9025
2018-03-07 17:00:00 4.9025 4.9025
2018-03-08 17:00:00 4.9025 4.9025
2018-03-09 17:00:00 4.9025 4.9025
2018-03-10 17:00:00 4.777 4.777
2018-03-11 17:00:00 4.777 4.777
2018-03-12 17:00:00 4.777 4.777
2018-03-13 17:00:00 4.9025 4.9025
2018-03-14 17:00:00 4.9025 4.9025
2018-03-15 17:00:00 4.9025 4.9025
2018-03-16 17:00:00 4.9025 4.9025
2018-03-17 17:00:00 5.028 5.028
2018-03-18 17:00:00 5.028 5.028
2018-03-19 17:00:00 5.028 5.028
2018-03-20 17:00:00 5.028 5.028
2018-03-21 17:00:00 5.1535 5.1535
2018-03-22 17:00:00 5.279 5.279
2018-03-23 17:00:00 5.279 5.279
2018-03-24 17:00:00 5.4045 5.4045
2018-03-25 17:00:00 5.53 5.53
2018-03-26 17:00:00 5.6555 5.6555
2018-03-27 17:00:00 5.6555 5.6555
2018-03-28 17:00:00 5.53 5.53
2018-03-29 17:00:00 5.53 5.53
2018-03-30 17:00:00 5.53 5.53
2018-03-31 17:00:00 5.53 5.53
2018-04-01 17:00:00 5.53 5.53
2018-04-02 17:00:00 5.6555 5.6555
2018-04-03 17:00:00 5.781 5.781
2018-04-04 17:00:00 5.781 5.781
2018-04-05 17:00:00 5.781 5.781
2018-04-06 17:00:00 5.781 5.781
2018-04-07 17:00:00 5.781 5.781
2018-04-08 17:00:00 5.781 5.781
2018-04-09 17:00:00 5.781 5.781
2018-04-10 17:00:00 5.781 5.781
2018-04-11 17:00:00 5.9065 5.9065
2018-04-12 17:00:00 5.9065 5.9065
2018-04-13 17:00:00 6.032 6.032
2018-04-14 17:00:00 6.1575 6.1575
2018-04-15 17:00:00 6.283 6.283
2018-04-16 17:00:00 6.4085 6.4085
2018-04-17 17:00:00 6.4085 6.4085
2018-04-18 17:00:00 6.4085 6.4085
2018-04-19 17:00:00 6.4085 6.4085
2018-04-20 17:00:00 6.534 6.534
2018-04-21 17:00:00 6.534 6.534
2018-04-22 17:00:00 6.6595 6.6595
2018-04-23 17:00:00 6.785 6.785
2018-04-24 17:00:00 7.036 7.036
2018-04-25 17:00:00 7.1615 7.1615
2018-04-26 17:00:00 7.1615 7.1615
2018-04-27 17:00:00 7.287 7.287
2018-04-28 17:00:00 7.4125 7.4125
2018-04-29 17:00:00 7.538 7.538
2018-04-30 17:00:00 7.789 7.789
2018-05-01 17:00:00 8.04 8.04
2018-05-02 17:00:00 8.1655 8.1655
2018-05-03 17:00:00 8.291 8.291
2018-05-04 17:00:00 8.542 8.542
2018-05-05 17:00:00 8.6675 8.6675
2018-05-06 17:00:00 9.044 9.044
2018-05-07 17:00:00 9.295 9.295
2018-05-08 17:00:00 9.797 9.797
2018-05-09 17:00:00 10.048 10.048
2018-05-10 17:00:00 9.6715 9.6715
